,시도,군구,스벅_나머지데이터,ID
0,서울,강남,언주로 425 (역삼동)02-568-3762,서울 강남
1,서울,강남,강남대로 538 (논현동)02-3442-3672,서울 강남
2,서울,강남,테헤란로 125 (역삼동)02-568-3668,서울 강남
3,서울,강남,남부순환로 2947 (대치동)02-568-3704,서울 강남
4,서울,강남,테헤란로 518 (대치동)02-568-3648,서울 강남
5,서울,강남,언주로 861 (신사동)02-541-3622,서울 강남
6,서울,강남,광평로 281 (수서동)02-6181-3688,서울 강남
7,서울,강남,남부순환로 2621 (도곡동)02-571-3604,서울 강남
8,서울,강남,테헤란로 409 (삼성동)02-2051-3562,서울 강남
9,서울,강남,봉은사로 446 (삼성동)02-539-3564,서울 강남
10,서울,강남,봉은사로2길 39 (역삼동)02-557-3484,서울 강남
11,서울,강남,영동대로 513 (삼성동)02-6002-3467,서울 강남
12,서울,강남,학동로 419 (청담동)02-514-3397,서울 강남
13,서울,강남,도곡로 205 (역삼동)02-565-3496,서울 강남
14,서울,강남,강남대로 390 (역삼동)02-561-3478,서울 강남
15,서울,강남,도곡로 457 (대치동)02-554-3315,서울 강남
16,서울,강남,영동대로 720 (청담동)02-3443-3371,서울 강남
17,서울,강남,압구정로30길 17 (신사동)02-541-3306,서울 강남
18,서울,강남,압구정로12길 32 (신사동)02-3446-3356,서울 강남
19,서울,강남,도산대로57길 24 (청담동)02-514-3364,서울 강남
20,서울,강남,강남대로 328 (역삼동)02-565-3347,서울 강남
21,서울,강남,도산대로 328 (논현동) HS빌딩02-758-8971,서울 강남
22,서울,강남,삼성로 402 (대치동)02-561-3287,서울 강남
23,서울,강남,테헤란로 505 (삼성동) 화진빌딩02-554-3235,서울 강남
24,서울,강남,"논현로 752 (논현동,구산빌딩)02-758-8896",서울 강남
25,서울,강남,도산대로 108 (논현동) 렉스타워02-758-8848,서울 강남
26,서울,강남,남부순환로 2909 (대치동)02-758-8809,서울 강남
27,서울,강남,언주로 650 (논현동) 한국건설기술인협회02-758-8798,서울 강남
28,서울,강남,도산대로 458 (청담동) 리츠타워02-758-8726,서울 강남
29,서울,강남,"도곡로 408, 디마크빌딩 101호 (대치동)02-758-8683",서울 강남
30,서울,강남,역삼로 123 (역삼동)02-758-8739,서울 강남
31,서울,강남,영동대로 513 (삼성동) 코엑스02-758-8733,서울 강남
32,서울,강남,"논현로175길 94, 1~2층 (신사동)02-758-8661",서울 강남
33,서울,강남,"테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)02-758-8626",서울 강남
34,서울,강남,"테헤란로 134, P&S TOWER (역삼동)02-758-8631",서울 강남
35,서울,강남,"강남대로 456, 한석타워 2층 1-2호 (역삼동)02-758-8624",서울 강남
36,서울,강남,"도산대로 532, 인희빌딩 1층 (청담동)02-758-8659",서울 강남
37,서울,강남,테헤란로87길 33 (삼성동)02-758-8635,서울 강남
38,서울,강남,"영동대로86길 12, ,9,10번지 동남유화빌딩 (대치동)02-758-8592",서울 강남
39,서울,강남,논현로 704 (논현동)02-758-8101,서울 강남
40,서울,강남,도곡로 511 (대치동)02-758-8063,서울 강남
41,서울,강남,"테헤란로 305, 한국기술센터 1층 (역삼동)02-6009-3410",서울 강남
42,서울,강남,"언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)02-2191-1219",서울 강남
43,서울,강남,"테헤란로 443, 애플트리타워 1층 (삼성동)02-758-8038",서울 강남
44,서울,강남,"테헤란로64길 18, 세화빌딩 1층 (대치동)02-758-8028",서울 강남
45,서울,강남,"압구정로 170, 관영빌딩 1층 지하1층 (신사동)02-758-8013",서울 강남
46,서울,강남,압구정로42길 32 (신사동)02-758-8231,서울 강남
47,서울,강남,논현로 401 (역삼동)02-758-8247,서울 강남
48,서울,강남,"테헤란로 223, 큰길타워빌딩 (역삼동)02-758-8116",서울 강남
49,서울,강남,"선릉로 669, 웰빙센터 1층 (논현동)02-758-8119",서울 강남
50,서울,강남,"남부순환로 2936, 원플러스 상가107호 (대치동)02-758-8120",서울 강남
51,서울,강남,논현로 88 (개포동)02-758-8122,서울 강남
52,서울,강남,테헤란로 142 (역삼동)02-758-8158,서울 강남
53,서울,강남,영동대로 215 (대치동)02-758-8151,서울 강남
54,서울,강남,봉은사로 407 (삼성동) 에프오빌딩02-758-8970,서울 강남
55,서울,강남,삼성로 605 (삼성동)02-758-8278,서울 강남
56,서울,강남,논현로 508 (역삼동)02-758-8129,서울 강남
57,서울,강남,논현로 841 (신사동)02-758-8109,서울 강남
